cluster,LINE_UNIQUE_ID,rank,predicted_yield_advantage,lower_90,upper_90,n_sites,allocated_plots,advance,needs_review
C1,C1.427.34,1,7.842994423198624,-8.883446506988497,23.438409381573145,5,5,True,True
C1,C1.380.154,2,7.17251147868333,-9.553929451503793,22.76792643705785,5,5,True,True
C1,C1.427.16,3,7.131528552979096,-9.594912377208026,22.726943511353618,5,5,True,True
C1,C1.401.7,4,7.038108733214837,-9.688332196972285,22.63352369158936,6,6,True,False
C1,C1.379.88,5,6.989337747961209,-9.737103182225912,22.58475270633573,6,6,True,False
C1,C1.401.81,6,6.464944787298047,-10.261496142889072,22.060359745672567,6,6,True,False
C1,C1.430.65,7,6.176904468405785,-10.549536461781337,21.772319426780307,5,5,True,True
C1,C1.401.30,8,6.137448182677218,-10.588992747509902,21.732863141051737,6,6,True,False
C1,C1.439.5,9,5.976526829159507,-10.749914101027612,21.57194178753403,5,5,True,True
C1,C1.401.21,10,5.960279829531068,-10.766161100656053,21.555694787905587,6,6,True,False
C2,C2.436.55,1,2.5005453030918496,-13.97865858643384,17.178130942999395,7,7,True,True
C2,C2.424.46,2,2.3509565300432573,-14.128247359482431,17.028542169950803,4,4,True,False
C2,C2.386.25,3,2.330328182686494,-14.148875706839195,17.00791382259404,2,2,True,False
C2,C2.436.48,4,2.279656915404068,-14.19954697412162,16.957242555311613,7,7,True,True
C2,C2.424.142,5,2.2278709961452736,-14.251332893380416,16.90545663605282,5,5,True,False
C2,C2.447.158,6,2.1988006491460275,-14.28040324037966,16.876386289053574,6,6,True,True
C2,C2.447.59,7,2.195827194345641,-14.283376695180047,16.873412834253187,6,6,True,True
C2,C2.424.21,8,2.168191243053235,-14.311012646472454,16.84577688296078,6,6,True,False
C2,C2.447.163,9,2.1388179175186024,-14.340385972007086,16.81640355742615,6,6,True,True
C2,C2.447.154,10,2.107346464689284,-14.371857424836405,16.78493210459683,6,6,True,True
