LINE_UNIQUE_ID,CLUSTER_ID,POP_NUM,GCA_pred,GCA_obs,n_env,rank,advance
C1.382.57,1,382,278.5364649665559,234.8599090576172,6,1,True
C1.418.43,1,418,270.26539837102405,238.18624877929688,5,2,True
C1.418.28,1,418,269.73740449672573,236.0750732421875,5,3,True
C1.418.66,1,418,269.4002855567085,246.58193969726562,4,4,True
C1.418.77,1,418,269.0504644941473,251.67022705078125,4,5,True
C1.418.23,1,418,268.593876346903,251.38534545898438,4,6,True
C1.235.191,1,235,267.85524879740996,243.79095458984375,9,7,True
C1.418.16,1,418,267.5125341445542,250.29861450195312,4,8,True
C1.428.213,1,428,266.8486596115602,232.5718231201172,6,9,True
C1.431.57,1,431,266.1574575612618,227.26486206054688,5,10,True
C1.253.210,1,253,265.59560104962424,250.1539306640625,7,11,True
C1.383.148,1,383,264.20127380360447,228.28994750976562,5,12,True
C1.428.146,1,428,263.5893282956569,244.65277099609375,6,13,True
C1.418.4,1,418,262.7283637579567,234.52658081054688,4,14,True
C1.254.151,1,254,262.4746879607454,222.9962921142578,8,15,True
C1.428.110,1,428,261.31366144912425,255.408447265625,6,16,True
C1.431.50,1,431,260.8784600723388,243.5418243408203,5,17,True
C1.428.138,1,428,260.42772484663845,250.0568389892578,6,18,True
C1.428.199,1,428,259.70474962753934,248.3719940185547,6,19,True
C1.235.86,1,235,259.5650939230344,236.17623901367188,10,20,True
C1.411.13,1,411,259.39109262375877,234.53994750976562,2,21,False
C1.428.165,1,428,259.20161633320913,234.3596954345703,6,22,False
C1.253.39,1,253,259.1523531201406,238.49905395507812,7,23,False
C1.381.167,1,381,258.9270327652142,233.5963134765625,5,24,False
C1.381.23,1,381,258.5572097361354,243.72659301757812,5,25,False
C1.383.14,1,383,258.3545780778074,240.97723388671875,6,26,False
C1.418.60,1,418,258.1908066373544,237.09548950195312,4,27,False
C1.428.159,1,428,257.9763169098617,240.96319580078125,6,28,False
C1.247.131,1,247,257.8497877552833,232.32028198242188,8,29,False
C1.428.115,1,428,257.74523962740744,242.595947265625,6,30,False
C1.428.194,1,428,257.70998829911565,250.9399871826172,6,31,False
C1.418.73,1,418,257.6253138607697,259.912841796875,4,32,False
C1.253.81,1,253,257.2670941829102,246.41036987304688,7,33,False
C1.253.140,1,253,257.22149637681986,260.4071044921875,6,34,False
C1.253.169,1,253,257.1608662211556,239.26760864257812,7,35,False
C1.127.00000000194,1,127,256.6340322490904,225.75,4,36,False
C1.428.225,1,428,256.4902508703424,234.9672393798828,6,37,False
C1.381.182,1,381,256.46223544248505,244.26931762695312,5,38,False
C1.428.228,1,428,256.4600222374076,247.3887481689453,6,39,False
C1.127.00000000180,1,127,256.2173662605461,254.5,4,40,False
C1.247.77,1,247,256.1306389908072,237.9158935546875,8,41,False
C1.381.45,1,381,256.1165711751486,237.06387329101562,5,42,False
C1.428.176,1,428,256.0827825334241,253.5219268798828,6,43,False
C1.383.23,1,383,256.0432161230611,241.75779724121094,6,44,False
C1.253.43,1,253,256.01998943572,248.37184143066406,7,45,False
C1.428.168,1,428,255.81327131407588,252.342529296875,6,46,False
C1.366.168,1,366,255.80334326109673,208.5875701904297,7,47,False
C1.431.1,1,431,255.77691631272214,229.66761779785156,4,48,False
C1.428.193,1,428,255.68029138283646,250.44581604003906,6,49,False
C1.418.79,1,418,255.49741778304323,216.694091796875,5,50,False
C1.62.48,1,62,255.37552820113459,256.3429870605469,1,51,False
C1.235.216,1,235,255.2177933623641,239.9783172607422,10,52,False
C1.253.189,1,253,255.08148498087948,248.2279052734375,7,53,False
C1.428.207,1,428,255.05915582929796,243.0405731201172,6,54,False
C1.127.00000000099,1,127,255.0401778245605,244.5,4,55,False
C1.383.101,1,383,255.021466848553,232.8129119873047,6,56,False
C1.431.16,1,431,255.02045452320553,246.35458374023438,4,57,False
C1.253.146,1,253,255.01098748524979,236.78713989257812,7,58,False
C1.431.29,1,431,254.91293197747333,213.32382202148438,4,59,False
C1.418.15,1,418,254.88823841862046,261.71331787109375,5,60,False
C1.127.00000000089,1,127,254.76245384298912,227.0,4,61,False
C1.470.243,1,470,254.73030594963566,217.510498046875,5,62,False
C1.253.109,1,253,254.6421194519678,234.52963256835938,7,63,False
C1.253.82,1,253,254.62223026227747,231.50509643554688,7,64,False
C1.418.59,1,418,254.48612633146473,254.28060913085938,4,65,False
C1.431.52,1,431,254.4144915014946,221.0319366455078,4,66,False
C1.428.152,1,428,254.33769803855583,254.4640655517578,6,67,False
