line,pred,y,n_fields,population
C1.487.82,13.522432243666424,-2.686399,5,487
C1.479.134,13.238197061745655,-4.233882,6,479
C1.454.18,13.232324182491235,-6.6242146,8,454
C1.479.48,13.227653305155387,-17.347149,6,479
C1.497.78,13.053821850178677,-3.982547,8,497
C1.454.135,12.994097681496992,-16.835127,8,454
C1.497.131,12.826451650118296,1.3226154,8,497
C1.479.150,12.8007061768297,-3.202832,12,479
C1.479.42,12.80051443563745,0.28487107,5,479
C1.479.140,12.71003109950207,-10.143899,6,479
C1.454.184,12.588192483621162,0.1670927,7,454
C1.454.34,12.520156323447974,-0.37363985,8,454
C1.479.55,12.512286852311426,11.742521,4,479
C1.479.33,12.502406481578085,-10.9159155,6,479
C1.497.88,12.498481350592407,-0.7734221,8,497
C1.454.38,12.497578956961151,3.6288726,8,454
C1.479.12,12.299538791310276,-2.7167819,6,479
C1.479.20,12.225366060163028,10.400485,6,479
C1.479.31,12.22096590972216,4.5798016,6,479
C1.479.41,12.163933682699398,-5.721182,6,479
C1.479.112,12.134078760438323,-19.328949,6,479
C1.497.147,12.118530084494106,-0.022184603,8,497
C1.454.40,12.103159600174248,-24.060753,8,454
C1.452.18,12.102703402831565,8.608329,7,452
C1.479.89,12.081132500267392,1.4274014,6,479
C1.479.131,12.027990654597836,-1.829932,6,479
C1.497.175,11.951495464154103,-5.720747,8,497
C1.454.117,11.943707981800893,-19.792515,8,454
C1.497.212,11.943357392488698,9.524725,7,497
C1.497.72,11.92511340596266,3.755353,8,497
C1.497.150,11.912506885346653,-3.224497,8,497
C1.487.91,11.903230566190027,16.824844,4,487
C1.497.191,11.857523427731754,-4.0541186,7,497
C1.497.24,11.8259869967756,-5.32326,8,497
C1.497.106,11.822326646554025,-12.236497,8,497
C1.452.124,11.801865504908807,8.398396,8,452
C1.454.120,11.800538492882279,-9.588602,8,454
C1.497.61,11.77690428466368,11.497266,8,497
C1.479.130,11.71785134421243,2.7651515,6,479
C1.479.14,11.692369581599543,-12.270632,6,479
C1.454.59,11.67549047147036,9.007085,8,454
C1.479.100,11.671605953392444,-8.588016,6,479
C1.479.4,11.664845116251218,6.1337376,5,479
C1.454.33,11.659737246443461,-4.5425024,8,454
C1.479.11,11.65799055972119,-12.634382,6,479
C1.454.21,11.653190063375067,-6.69769,8,454
C1.454.127,11.648994325236227,-13.51149,8,454
C1.454.155,11.640805668970637,8.383998,8,454
C1.479.23,11.614870046458078,-5.766482,6,479
C1.454.96,11.59628882017265,2.4836352,8,454
C1.454.136,11.569028012998071,-15.851877,8,454
C1.497.41,11.568463740443866,6.5807405,8,497
C1.479.133,11.552625004386911,-7.0050654,6,479
C1.479.99,11.548538215516102,2.7240348,6,479
C1.479.57,11.539065386860308,0.08806808,6,479
C1.454.82,11.535838492100153,-0.65417874,7,454
C1.479.36,11.494247258275557,6.4213514,6,479
C1.497.173,11.486189416503052,8.321853,7,497
C1.454.128,11.46971969374806,-13.911753,6,454
C1.479.119,11.449299418969705,-19.282965,6,479
C1.497.113,11.448394794639478,-16.702396,8,497
C1.479.70,11.4436514502139,-0.31844857,6,479
C1.470.112,11.423212014615997,-3.5465162,8,470
C1.474.106,11.41905057787379,17.077686,7,474
C1.470.25,11.399086218982681,-5.2138786,8,470
C1.497.45,11.388939602363996,-14.557172,8,497
C1.454.158,11.355378219515872,-3.9553773,8,454
C1.479.51,11.345864433558777,2.6382015,6,479
C1.479.43,11.337404223514843,-1.3965986,6,479
C1.479.22,11.321557600188111,-17.79081,5,479
C1.497.146,11.310273188797195,4.2793655,8,497
C1.479.58,11.30358685230488,-2.751282,6,479
C1.463.167,11.274108692126644,5.72369,6,463
